Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Category,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,0,14,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,0,0,28,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,68,42,48,-,0,116
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,0,0,21,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,150,90,100,-,0,243
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,49,35,54,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0011,"Zidovudine /Lamivudine(AZT/3TC), 300mg/150mg, pack of 60  tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,25,13,25,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,200,150,200,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,50,50,200,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,40,20,40,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF5410,"Bioline HIV 1/2, Kit of 25 tests",HIV Test,Test,0,0,0,875,-,0,-50
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,200,137,0,-,8,"-1,600"
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,0,0,50,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,0,700,-,0,-100
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,4,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,15,8,0,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,68,42,0,-,0,0
01/06/2026,Normal,Zomba,ZA2768,Zomba city private clinic,Clinic,Private,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,0,9,63,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,0,1,6,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,7,4,7,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0072,"Tenofovir Disoproxil Fumarate/Lamivudine(TDF/3TC ), 300/300mg, pack of 30 tablets",PrEP,Bottle,0,13,7,12,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0078,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 30 tablets (13A)",ART / PEP,Bottle,0,105,65,57,-,0,-50
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0078-A,"Tenofovir Disoproxil Fumarate/Lamivudine/Dolutegravir (TDF/3TC /DTG), 300/300/50mg, pack of 90 tablets (13A)",ART / PEP,Bottle,0,92,101,840,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0088,"Determine HIV 1/2, Kit of 100 Tests",HIV Test,Test,0,"1,000",650,0,-,0,800
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF5099,"OraQuick HIV Self Test Kit, Pack of 25 Tests",HIV Self-Test,Test,0,50,50,100,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,GF0090,"Unigold, Kit of 20 tests",HIV Test,Test,0,0,10,0,-,30,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5118,"Abacavir/Lamivudine (ABC/3TC), 120/60mg, pack of 30 dispersible tablets",ART,Bottle,0,24,12,613,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF1103,"Abacavir/Lamivudine (ABC/3TC), 600/300mg, pack of 30 tablets",ART,Bottle,0,124,182,644,-,0,-104
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5672,"Abacavir/Lamivudine/Dolutegravir, 60/30/5 mg pack of 180 tablets",ART,Bottle,0,0,22,"1,249",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0570,"Atazanavir/Ritonavir (ATV/r), 300/100mg, pack of 30 tablets",ART,Bottle,0,0,0,28,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5109,"Darunavir (DRV) 150mg, pack of 240 tablets",ART,Bottle,0,0,0,1,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF1104,"Darunavir (DRV) 600mg, pack of 60 tablets",ART,Bottle,0,16,19,4,-,0,-4
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5282,"Dolutegravir (DTG) dispersible, 10mg, pack of 90 dispersible tablets",ART / PEP,Bottle,0,0,0,271,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF5022,"Dolutegravir (DTG), 50mg, pack of 30  tablets",ART / PEP,Bottle,0,336,312,380,-,0,-21
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0074,"Efavirenz (EFV), 200mg, pack of 90 tablets",ART,Bottle,0,0,0,20,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,GF0063,"Efavirenz (EFV), 600mg pack of 30 tablets",ART,Bottle,0,0,0,63,-,0,0
