Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,1,2,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,20,-,0,5
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,0,18,4,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP003800,Male condoms,Each,0,"1,584","1,515","26,971",-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,0,0,280,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,0,15,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,180,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,0,786,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,0,0,17,-,0,-10
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,350,0,0,350,-,8,-120
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,640,-,0,640
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,7,-,0,-8
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,23,-,0,-35
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,8,40,0,-,27,5
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,590,-,0,590
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,0,5,5,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,50,25,50,-,0,-700
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP003800,Male condoms,Each,0,"8,784","5,832","1,008",-,0,"9,648"
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,"3,804","1,180",740,"2,224",-,0,-800
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,"2,498",200,200,"1,698",-,0,-600
